image_name,bpd_x1,bpd_y1,bpd_x2,bpd_y2,ofd_x1,ofd_y1,ofd_x2,ofd_y2,bpd_mm,ofd_mm,hc_mm,pixel_size
787_HC.png,51.687904,114.8959762962963,190.47907200000003,91.67184592592592,131.48323200000002,239.6913303703704,110.683712,-33.12346074074074,88.3765,117.2591,324.6,0.202475388845
637_HC.png,109.41091200000001,132.57562074074076,150.016288,144.97460148148147,124.77264,174.2891140740741,134.65456,103.26110814814814,50.953,60.1617,172.69,0.393280178308
444_HC.png,56.628512,132.60259555555555,173.194336,138.08777481481482,112.546464,245.6510577777778,117.27638400000001,25.039360000000002,50.0478,63.9361,178.97,0.137323513627
332_HC.png,85.412672,110.72521481481482,206.394208,117.84239407407408,142.73936,232.33033481481482,149.067552,-3.7627259259259263,46.4744,61.2184,169.3,0.122829559373
291_HC.png,66.30444800000001,111.70934518518519,208.340992,149.05111703703705,120.129792,273.9116088888889,154.51561600000002,-13.151194074074075,46.7275,63.746,174.0,0.103654762109
741_HC.png,56.888639999999995,137.68248888888888,194.939008,103.24408888888888,139.926592,243.74850370370373,111.901088,-2.821925925925926,80.9861,97.6378,280.2,0.185119277901
079_HC.png,93.87462400000001,108.47634962962962,172.909312,112.43036444444445,131.76185600000002,181.9666962962963,135.02208000000002,38.940017777777776,23.6692,28.9126,82.28,0.0957786119901
148_HC.png,61.477024,126.47845925925927,155.44403200000002,116.53698370370371,112.917024,213.95821037037038,104.00403200000001,29.057280000000002,26.2798,34.9051,96.1,0.0892671144434
436_HC.png,49.743616,128.72277333333335,197.265504,144.53229037037036,116.40288000000001,282.0700444444444,130.60624,-8.814980740740742,47.2434,62.8796,173.3,0.102211869493
525_HC.png,63.927552,146.33059555555556,188.156704,126.14475851851851,134.563328,251.3366755555556,117.520896,21.138678518518518,50.1292,62.7007,177.09,0.128357242315
323_HC.png,49.348032,119.06583703703704,197.714912,110.38245925925926,127.235072,253.61152000000004,119.827904,-24.163223703703704,49.23,62.2142,175.08,0.106097263225
652_HC.png,43.350592,139.66032592592595,159.8256,150.20183703703705,96.83257600000002,260.25500444444447,106.343616,29.607111111111113,59.6226,79.6951,219.09,0.1635005974
447_HC.png,80.734944,77.36741925925926,167.911008,192.50977185185187,77.900064,212.0798814814815,170.745888,57.79730962962963,51.7487,61.8191,177.98,0.141787707806
290_HC.png,45.97651200000001,123.3594311111111,170.692032,138.78096592592593,101.662112,249.4976474074074,115.006432,12.642749629629629,47.245,60.565,169.34,0.120803023257
133_HC.png,51.887648,109.11971555555556,146.97936,92.05191111111111,107.07692800000001,194.05008592592594,91.79008,7.1214933333333335,28.4118,37.6995,103.85,0.0949166518337
606_HC.png,85.957088,143.0374874074074,158.09324800000002,155.0010785185185,117.18918400000001,213.01726814814816,126.86112,85.02129777777779,54.2057,64.9221,186.2,0.238966970217
218_HC.png,77.32688,121.11454814814815,195.67766400000002,114.05605925925926,139.53692800000002,229.2607525925926,133.467648,5.909902222222223,48.1687,61.36,171.98,0.130134402932
487_HC.png,76.805216,118.43768888888889,209.742048,127.07593481481481,139.743616,241.98665481481484,146.803616,3.5269688888888893,50.9065,61.6378,176.53,0.122422401498
055_HC.png,145.839744,210.09796740740742,171.636064,67.13756444444445,216.387872,161.44924444444445,101.08793600000001,115.78628740740741,22.9839,27.462,79.0,0.0736317915075
547_HC.png,49.790592,117.02101333333333,159.475744,118.53402074074074,103.98787200000001,220.4511288888889,105.278464,15.103905185185186,48.62,61.4412,172.7,0.141839768205
611_HC.png,57.261792,129.4528,210.62774399999998,126.54530370370372,135.104576,262.27328,132.784928,-6.275223703703705,53.8885,63.6933,184.4,0.112429791027
388_HC.png,82.116864,147.72423111111112,160.990912,154.86307555555558,118.20940800000001,232.39499851851852,124.89836799999999,70.19235555555557,47.0511,65.3127,176.65,0.190535875467
